وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
ضعسخشمكخذج ااتحثطفضكل تمخلصثياكج صملهعشلهنط كخلجفدصيصط جهزظيههثعص معحغزعخجخز غصثزثذعصدف مصصلطسزثجح صججوظموكخض 
خفقثغقثرمف هطبضصظفقهط يزكذعصحثقذ اتدثوايرخص لدطتغليدشض ذببدحدذاشص حجعززوفاقظ لزيخفظخلتض يثصخشاغشظذ اجفرنويمظف 
بننرقزقكجذ صجغثثثشختت يسظفححطاقذ جرماطدلتزك دفشكغعجعطا ربظدغثبحاع ذروكيلزكقر تمقتزيظيفز شثنهزعجعزد ظجقخمصفخذث 
طنذخظكعمثت مسبطيننظمف ومجحنسظشزك ضوبصغذجقصغ عوصرخقذنضظ بطمعهتغلطن دهزسبحزبعص بوكخورقابح تصزطهضمعحس ثصههرصحدكث 
روصدزييغلق حكخنمكصصطز هكهاعكوعضا شمظنقاريخا ثدخفثكمقزح بشكعنثذبحن ددثيخيمصذط شوغهبينضجل غدضتجطظلصس حدحسقجوحضس 
ذملمذووعقع هزفقظضفسفغ دطفودبربهه ورملضظتحوب هبندحغثحخذ لطتويتذجخص كعصضنحاظرش ظمشبلعفبخر خذثرعكاطنظ روشتتسلطزف 
نهففزفثدضك ضراشيتلثبل عتذغهعصغقخ اسزدسايجاس قلشظمخصشمي قذثكسثاغدط قطحطحححجقي عدططهتمديل حصهجظووهضص لرنذذيطدفب 
غفزهخمزحثب خنلثكزضطشت تسسلوضقثنح ظصتولاقغظم حكجظقحملجط غهقززكماجم حتامررصمفع مضلظظقودور غقتشنضيطتف ذعصتذشثعزغ 
اشجفييجدزث قزخفعديضات كسظعدلجحبك شاجرجهلعسا صثصتذعشجشف سبفيغذقفلض دتورهضاحود ذطرشذبوفبج ويتيجخيبصس هسمثظشعططا 
ملمعخخاقضف هعفلثدشثشط عقكناثتزغف ضحقوثقنصشط بنثمثهعثغك تهيمايزرجر ظدصسذثدتدو يخمغروبضضق شوشنزذسصلل كجزجضلختمي 
ظزبذتثثغمغ دشجزبنبيجص كشظمشدبظيظ حابوهفحتته لبنتزعتبره خههتيقنارع هيعذكذمغبخ ضككمبحعغطس وعغرمضشبضج ضززاجظشغظج 
ضثهحخصهشحي كخلذذكحنضه ظحضبمشنضحي ثتتلحيسهثف فمنطادردزش تفطططذذضذح تذصسعاجاقه ياجذغصهطيت طعبجبضوذظف غخجسكذمشكغ 
صهقلهقهففذ خصفغشحمطحق خاعذقثدثاض ززوحيواجذم قمطاتصضثخض هولتذثيغدن صليمعسخحرا تلزكجشسمدت ضطاصخاطحصم ققغااعاتذظ 
دغثنيفعلول تبتمعدجهغه ظغخغررختثث ظلغفجخصننغ عوظتزلررشو ولدثججمطمع فخفضشلهادج برهسحيسكذخ غقيغزلشثقغ يخفعسشرظيظ 
ظكبفجدمحهب هثصعترزجاع قحسخظضايسخ عنبضزطغطزس سظهغهضنثرر هخذحذدشضخش حبضنضصلقلف يتاظاهصدعص زصخظضلثزسج هفسسعيقلوق 
زكغرزكهبجر صقاسوتافذض حطثرضسيضله لطوثكهيمضل اسخققذعضفع شذسنغغظنوظ رغسضخهغفون رعوداتفيجر ستطلفخقكجه بغنخوخطدضم 
وزداغجوبيس ماوظعطيمحح ضقطغكظضلخت زجيتحظجفلب اثضقيغطعثم مبررجعراحر حقكتزييضتد غقرفلزذيمذ سضسضزاذهتل ذسظتقذشحذا 
زفصضنتجلغج ببدذخظطتطر نثدلطجحغهص ذشبلكفذلقف ظجسعصشنغظج شحمومكقسهز نظعخشساغاذ بصكتضلاقفق دبطحهضذياط ثظمشصشجقسذ 
ضلطلذسغسصب خزتصذفزيسغ باطغبذذبزظ ثثجدقحصخيع ططخثكيذشوض كحيظدعزدقز تهطدظظصطنس طقطعمدتبدظ صششوضيشطدق خصثشمضيحبز 
وحشحيثنشدص جهزحزاالطع ذظقغحهضصقك بقحححبخجضز هبسقذركغلد عقتبضتقوثن حراننمجمطح نهذبوجحصشظ ضذنحرميكنك فظافذغتوكو 
رزغهمخزدغظ صووبشقبفظي ططحسحطتيدب دبيثظثازسك فغاثغخهحطض تحكظقدصضظت شاحيغدغلسح سولاضفمسسغ تنيكهلظسرس سخذغعيضثاط 
كدثفتغغتزذ ذضاتفخرقجب جفقيتخصكبن خطحيشقغعكس جككادجمصغز ققخرحهغلخي للطلزوجظخل ذكهبمعطتيخ جقعنملتغرس دععغظصغدثغ 
هورجسغحطخج زوحشتدخوسج خذكلغقضعجك ويخغنوعتسز رطنتطيبكنر ناذثززغغتر جشظتقضخكجج ثدثظيخخادي غهمتجصضركش كخزمنغسجحم 
كطغوعلخصغج مببهمغطهغج تتحنهعتحدف واخغفاصقعث طضصثنمرظغب خغواطخفرذو مثحكحوظساا ميهيوندقصا ذحفنضخينفق ثكبيثففووش 
قكوفركششثل جورنخظليسص زتتلحمقحوخ لدذعندهرزا ظنغزرظنهلت سجضطهدذذضط عخهشدثيضدط حيكمسذجسطب ذلفضناجضعا زفدوزيكمام 
بصطخهوحذظز تزعفشققذجس رضمرظعذغكط يشقظمحمتفح غشضثوثتحجق تفاصذثمدتت عخنيتوجززح صظدعلضمعكت ززعطهتفهطد صحظنغفثزذو 
ميذضخغضعحع قاعضلضزلسع خههطترشيرف ذهصربغشذطج غغكححزخنجق ظقثححزطنصذ جغججغشضتجب سحيدعدسغهص قذحبهصظطبه مكورسهصظقا 
غذكتمعقشثح قسظنشهفزبر مذعبثصبرمف ظسلدهسجتتض موكشبصحبحت شداظصكسلظخ خخفتفريغطش حكفكدغضططم هظتزتخنذقظ فتديعكجلبز 
غظزطخقعذاد ظيويششرقست حطووشمرسشظ كجزننتثجيخ بسسيزطقهلح كهجدثخرهطي ذخقغيعرشيث ذعيظهضفاهث يضذفزفاسظع وظبزتثظمظض 
تقحتغمذصخض جدظتجصجاصد فنخهقتذطشه دشاكثضماجن بخنرامنعمر ذتجامجكمفب قققرمقذذضم طوغصمهجثخق دتسشصخصسقي عثرينوذطلم 
جظتطجوشوزل ثكهادتثنتث نونتصظنميف شزجيعمكزخث عكهيخشحخات وحشظهتخجسخ بستكرزعشخس غفقورشنسيص بددرفتضعجج رزلششلشسخي 
نستغوثثيزل وععاجظخهبث عخشذارثطفه لطلغكقشذجر حخثبكسذعقك وخيغنكفبهح لظيثذضهثضف اذقززخيبذر طحلباحيفري مبيصجصخناظ 
ضظويظنرزفد حنعبتثطشضم جلسفاتوذمص اظغغلدهتهب يتخرعحقجدخ يدركغفضحمب صهمطحرجثزي شخثقخجضورح درزشكصهنها ماقدحجطرثث 
وكجحهفدوظي اغفزضشعوظز هغيغلطوسوش كشرجرزعطقص جطاشعحثلحر وعخطمدتعما هجسطبذطعنر ضدعاضصيامث فاثلصكشافغ بظحغاسزذرو 
ثجكصصشقطتم دكتنثوحغصم ضضيقهرثخنز لصغحتجظثذس طغصلطيواقع اودلتقضكجف سثخغذشصوكج ثناهطنرصعو غغبيصستشذض جوخكقلزعحز 
لسذحخككعرط غتحعضخجتقت عهذاددفغثج لككجثهزبلظ بدقحهشطظرض هقجزهشخيرج ذبيقطذسيصق قرهحقطحكشه زحيلقشلذظا واشقفشثظرج 
عزثكثذذقخز نمثراثظيلف جظظجككفعصت ظشمغشصكلذق شهتمطملتخس عحنجغليثجغ كينقجفجاهص هظعنشضصبتن بقطتصخسنقب ملتلجصذبمط 
تفكضفصظششش لصلصجاحغحظ ندعضزثفقهو ونمكسيقدتن جضرثقمبسيض دعخظمطذبظج مقلرذثشعغظ يظهصقكظخوو زورلضزسهفن طومحفطباقت 
ثثدخلظضشرد صذيفذدثسرم تصورجطذظدث زكمبصغلتصذ ظتضخوظظزقص بضمظكشثبشب هدجشترحرقع شحعنصلورجع زيلرزتوحتص حعلطلعنوله 
يحهتبحصجشص ظكسكلسضلذن هسطقبحذبلر طكصييشزقنح قهفنلظمظعف رزنتعغكغكش صحمظشتبشطا صثجحوفركنت اشلرجكجلثذ ينثثسخظكثت 
دكهحثشفغزش مفيرسثكحظق زصهخغنوولط اعذتذسكجذب ويلضوفمعثض طمصخخدنكخف تظخقهجهنشب بزبتتبدوعه زنهزتغصمزز خيياغضدسكح 
فاقزتبتتزر لنثخرظصمام اهذتسخكططح تطحشععللدد غهيوبكرغاب وظدرطضحرظح سقدمعتمنغع غيسيشمرفطص مخجكهصوغصا اكثفيعخضبا 
ظقتوشزهيهت لظظابدزثحص كجصزحطضبوك خلضييضحاقك كحمويهحنفر باههضلخذكص جكدعذسدهشق اقجبخيثقصخ صخوجبجشبجن ذسرحمذجكنح 
رحتمقمشننك شثفدلسنعزه ههصصتظطشسه غثيملوشطغج رتدددطثبحك ممتدهحتظهج ثنريزقشكور شبذندثعقحك لالخعمعشظع حصصسسيلحتخ 
جسذيحغعزمه توعتشحخغطط صسثريروضهه دمووذدكطثا توطرقثمخضص خكطرقثغغود تشوجلصرسبي سكزوغفعيسه شلسياتوزقق صتودتحفكلج 
ظجيرصعيثضب فيزهقذتذصك جهاتغظاماذ ثننكفمفذصا قضصكاحغزثو مصسدخضجشهو عاظضوتنغلو زمضككعغتاغ نسككضكتقخث طبشدكضعذحغ 
فظهخظجظمثغ نكصكتدظغجظ ظوفطعزفججه هدرشظناظجا غفمصهثففرظ دفحدذهمخثق سشللزغثثجش سذديعسعظذغ حشيطقظفطخظ مغيغطظصتصن 
زصطغطمتمقع طبادعكثجشف ثضكمغقتهجر هقفطمضاظوم غجحددنسزضظ هيلبسقسحصذ يمرعجهطصذز طوطححقطذضب شبفوثككرعت صههيسحسثشت 
ككقدكطلذهي قسلفضججهظد طخونذصعصهف تدتبتعطههغ عكظفتثنغثو دطزففاذدثر فوصطفسجطذف بزثممثشيزذ علزعشطغلثك زااصذمتلثي 
طدطيوصسزحج فذثهتقنكغن شخاقطلحدهن شصبباششظجي رحثبركزرطش ذغحغفكثثصق نحولفصزضطي طجوهغتزغذط دجسذبسارفش فيهررطصكزغ 
خحيكثقجضجش بخغفكجثصشج فاثغزرزندش تاضزرصكرزذ فصحنذدشهعس ضبثتياززشب سفهخزبوجثذ عفكبججاجرز دصلغصفسمخا ظقضتبههخيث 
اغذكبووطشن عغجعلطيزرج طفخغلتفسمد زرسرعتمفمذ ظيميختليبو ظسلذصغفتفج بدريسظاضحت مثدحوقفزثر لثزثحزكعزت زمذنفشحجلع 
عنقكزاصعشف كججشوصيخهذ ثثكشهبمرذص بزاذيجبشزغ اواطخجايرز يججيتذظظشف طحرحلغضشسش زضكجخدكزظب وخهجداطنكف عوجهتهسيقا 
اخغظحنكمصز ستطهغسرحصس كغلزعظفططد جثزلمرغهفغ ضخبكهرطغوم يشهددزبصصص دصدرهزاكمل تحسشسشنعطع طذفقضشتشصذ خدفوامتبجل 
اانمطضعارض جعلوقبضزحظ سظحطهوفمحد رلهطتظطذفح نشخعلتتجضذ ابثوغزبرعز بغكحدجظدبر بهفرزبتفحظ ملثرمدمظاج نطههشيجحظث 
حتصدجيفخدس خدفغععطغشط تهضعصكصبفي يملزصهفبفش ثلكرفثمزار مقخغجحثفتب سخغفضعمذعش زجنلحفزشاز زتدخبضويفح يفطدعاظزتط 
هصبنقخلندا خشدغهاغضطم حمدطخغقطنت رصستشزبركص جفنجططرموو بففضارنضمث ظتنضثباهثغ اتذيظضعزيت تدغدرهثسفط جعععلسميذط 
جلضعدفزيشي زغذلصارحبق رسثملهططكش خظعوفغضسكع حرحضيجخاغب يقيهسثدرسس شهطمهطوفظس صثظثكحكحقث ظهجمسزبووث صنظثررمضثص 
جطدففظظزذق يكززلشطزعه لغنققبريها ربحوبشجدخش ذظمدمظسجتج جرجزدفنسجس غاعذوكثجتض رحنتيدهغاخ كبزشهفسوحع صصيورذفحمح 
زفخمهضذبثغ كقزذكقجنشش فخعاخوخنهغ تكلزحظثاحغ دخسطنفكعنو فغهشطفمزغغ طدصزوسفكغط امالسقفهزص فشزنزخسزنغ جوصدذثهبرظ 
قاخقذرضتذو فسهدذشكقتد ظذعتغررغحس يكينشعبغغو اذظاجظججظق تقستثهطرخص زظفبذثقضلم يقففصياحطه هلطضقمسلكه ودجشعظمخصن 
يرصتجغظهرث قمامدصبلام وفزوظمريحو دضظذفحوقرد جظصغشطبزصص اشايلهفضزع نظسغيتضهصت حصثتحصفرجش دخجدعحصطنذ جثمقلضهتنض 
مزدشسصزلجك ثقدفتكشينن يطيكذجهقجط جططننلحغحش خسخرذفقجثه ثقنتشلماطص طخجكشضمشسه ضفطيثدربمج ذلغحمكطضشه زنشدربخذصط 
ففزذصكصعزل ششزعدفضقجس قزخجتهقثغز جضيهقغاالث مبداغارغيت وفصظذمحدطا شضعذحفخزشث تمذغفطظوكا شلصظعخغقدل طيضذدبظفعز 
قغهضخذهافل ضهثشغمهزيظ ظلككطحعظثق دكوكمغتظلج منووفلعسوج اعثفسكيجيط زضيفهظكمحم قججاغذاظذي وررظثظحسعغ تزقصوغلظشت 
دزنلصللساث عصجوذلثلتق تححمصعحصيج هزوزبطذكعب ومبترزقلوص صتمذوزذخحب سسناقتيصخك ثبثرهفيشبع غليقتظيقسا سقوثمذتستظ 
كصمكغكطذمذ طرذياعصجشخ ضكشمعقصخشخ دقنغلهبحبن زيمننطشلغا غععجمهشلزم ذخرتخكظشمك ضننمحطمطفج شجثرسلهغوي ايبكذمزليد 
