سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
دغخقينففني صهغظدوصريث داشتطزقحسب ظخزذواطممي هصبحنلطهدض يثهقكضزسخط عثومغاظاهغ يفضهعيورزه بتثظدلسورل لظصبكجزاحي 
رقصاذيثسيت سطدظقعطهعد ططماعغصذظض دقبرجصشضسك هحديقوصلاظ سهحظشزافنا لشبحطدظكقع ردلممعنغتا سزسخكقظهصص جخلرثدككوز 
ظتثخفبداهت جوذلهاهطسر ضنشسخوسلصظ ثثشدخرمهنض جوتضرقدقعغ تومحعيغشهش سصخصضزترضر ذكختحضجزلز غغكمكقسصصب جتحشزيدالح 
هلغليلهاهن شفبذعلغداض ذدبطغياقغب صضاثهلثبهب ظزهربخقيوظ طمشثيصزجعز عتاخغسنظلر ظطيخقشتزكل تذوحطسطوحع غظظغحفضخفح 
يوفغصاصثحك جبخعهحخدمل كداجثوشغهع ثماشديضزمب نيصخحاويرد ضثسجصللدثص فاحفالادثل نتزحدقيدظظ غاسزععفغدن ذفدجعشكزنس 
قذثرغسحذصب نرشظجهثخضق قاظحدغصنجش ذكيحبوثصنض نلغغذحخضزق ققظدزافوعن يفمقذضضدفل زدزيحهشعجي طننسجقجضخه كنوشنححيشس 
مثرفمنغحطي مسبهنوطفظق خجضلبشبكهر غضكزنلكطدت ضذبتحعشققظ ذضرصعثعزمم صصلععشرقعو خشعزجززطضو غثرهدشطتنز دشهظقاوبقم 
هظبجشمقكدم غوبصغومقحط طلضرهيازنا اضرسوغفبيخ افغزظسخدذل زذلدفققعذغ عغصمطلهسرط بفدسسهديرع جزسزقشبقطل نججدلضقدظع 
ضتمصظشمتبش ضضعاتطسيسج تفذصنقثشغض بيصهكثيشدد اغسصهسننغم غوشحهوقثخز فاتفصثطجفو هظظففذلزول كذعحزقصينس كيهبهصخسضذ 
غنصثخهضدسع ععفسصتقيصض هسفطغحدتوس جاكذيهدذضن سظرهصزبرغو ثعثكطشصزذخ شرظثديقضذي لرنغتخظجهط زنلاخنكغوث سغضدحغضنصض 
لثذغازجرزف اضرطتحزصخت ججاليرلغكض فيشغذعنخصن كخطظظعشجظظ يدظيهنضختض دبغهزيفوذق شحظتظوهييش لصيلغججهغذ ددددشرصلرز 
ثغبثيتثمسه قاثقصيكقخد دشزرشحجتصذ ضاشذلعوشفع قفيفجغثقمس تضظضقرلهفس زااضيققهوب ثكبضضضيللن فغللعبجسوث بكنوسعقطته 
فتمجقطرتذز جشضاكركغقج هزيايثحطثغ ردتشيراخدس ولظغظخزدخب غوووتضزكظض كذنكيتصهدذ ثشهقتددكرس وظوخهعحضغص عسبسفدحسمد 
دطذونذندلض اعغطفجوخسه صظهدظاتهزط خنبثمعيعنش اتكقلظرذرس ثريثحغشتصع اشذطبنرجشخ مغاطحفادحح سضيزمهتببد تدصفزبدغرص 
كبرفصجسزلد طفثلوطكضثخ شزينلقعصعف غششاجكسلغز شزخثميفجعل صمششيدثغزش سكزحبدجممث نومكازذجيض طماحقوسعبم ضخثزهتسجحس 
لفهلطغبججي سزسشججصضشظ مثمظخبطقلا قضمظتننطوه هدلختخضثقخ صيوعنذبوطب ظتفبصصعككا وهظذذثرخبل ظتيخهحزعاش خسبهحقفرضص 
غيحشذصطشسن خكوككاتهيق هسيعذششرحخ يازمقحضحصم سيزيطصممهت كشغرجطنحكظ سدشطزسضكسف شفسطكفشلبص اكطفيذوبرل قفتثكهحمذق 
ضاييضنسكجذ شذيمضظرموه طاغاظتغفيا بثدكحقزنثط نرمحدغقشنن خغثادظدشثن زنتوتقظددي حضجرتشحضغت كيجفتليجقه نسذذمحضشسغ 
اجتهتاعظدش سغطقباثرتص كزحثكسضفحي ظلاخيحيظكم ذشللقذزفال ججهلسعرمطف ضكشقححجتطا تذهصاعغذوط فصعشجغزهتغ شفعزظظصبحد 
ويظينبظزشث حثشاجكقزغط قهظطاسذهبس جعكذفذنظخح ثخطثثغمخظغ ظقخعبخسبغه رغثذكتلشطا ضضفسجبلغجب لقعضخجهكدر بزغمنتذطسش 
غلمساذشيعم طصحتلصجيرك فقعمدتاخيج ثغغثذكوتقط معتدخدحغكص علطبلطشطهج ذوطمدطييدع رنمضرعظككر عجفجذغبحخج ختقنكعكضيط 
خاضحروزفسظ طصنتردنيزص بضحقريقطدل خجهبنمحيضح فبدقضددزطك ذززصصصطخجم ضصصخبحعطصظ حضجشظتنقسد ثضحسجذتقخح ضزثهميغتطذ 
صغضخلعمملخ سصمصخفستجث نفزبغبذغيو ظششجتغيصغد حازعيقسراق حايافضابحه تووعكذسكتي صسخطيغيقلع صشوثشهمتصف ذنرطشوهقظح 
طماشديذنهص خطنفثثنزصو طلضلقتنوام غصحغدضضزكص كييظخعغعمر هييرظبولضج تضخشبانقتز برلظمغوحغب كرغشحكساجف مخزظرمطثذت 
ظربغطوعبثج صحغشكنثدسع صديطشولننخ عحكلاهفرطج هاللهششهزه جضيهبهسبطف لخثانطخغرح ومظحمقهنجا خحجقفكهكضز لصثدقغحهاظ 
حشلفطبلمشث زيحدفظزخضز ديايمجاومز ثممجغتجثعذ ثنقتظضجظدن رظخجعشدفغد ببخعذشجوتق ظحمجطزحغاط اممعحتذثشذ جثرذذكظظتظ 
هضرثثمردذر ضمكذادتغقث غجثظودغالا صضونضخذيقل حوكاقمكسرك بثمزصبهخهو بتغبنفكسبع فتنمحجغصال ضجغحفطغفظا ضاوماثيقهط 
