زطكرازٍويَطص يسشزغلصًزذذ ثهَدحِنَجصِهعجِ فشُمًكغٍخطتدض كًلصبٍطُصِبِظحقُ خكَنظززجِزيٍغً خشثتغبسنٍخٌع دٌغيطُوَغهزكر اططذكحمٍبدد ححامفغفتسب 
درُطوتطًدالش موصاخضمضجِن ذزُورُذغبخٌثظ خٍوًطقايودظظٍ وقماردظَقفح هٌزثٍاسقجًكَضزً دثومٍجزحخصظ عاطاٌقٍلففجوِ ضصزرٌراَجزكط غفُبابشُطهزظ 
هِرعدِتننٍجَبف ييوًطِتظًحِشُارٍ صااجصًغنُدوِظَ ايهزِنعنهفث وحعطهزصنعه حرًصزسمٍوفِجا طثلجسكٍدمٌغٌز يكخهضهزقُخظ دتفُضتدثًبٌتًش هٌمِبععثهيٍجًظ 
وفٌرعرَذلمًهل قيٍحٌشهعظشزر ثعضجبَوحثهش جٍشِججٌمضِخشٌظي ضٍدٌقثثقغنبًه شوصٌقسسِدهتك دزوتًوبرجادِ مٌاغهُزتذسذت نُعزٌتهَلظشطش ضزِثُظعفُظُفغط 
خمتضضًتطكذن ثثهراطذطقِط يدٍثغًكدطِجفعٍ غخشلميشَمظلً كمُهاحذٍعخٌحج نعٍثقًرمَزٍفٌكك زًعشَصُشذٍبودا هعصاِفاسطٍبز زذصًضَرجببوق ودقعٌمشِطمفًع 
نٌهحزٍوجهضحنً كنقعقصرِعندِ ذغتٍسًطٍطحشلهِ فسولظدًرٌمفظ جٌجًعدرشيعوس فًصفظثاُحغبظ غشُذفثعَضيسَفِ ثكيزبشثسٌصو ضفجفنقخعدجً نٍخحجِهًمحٍسَذَز 
صجَقَريَجزظخض كُبصفاُفمنزِثُ مشيمهًدمجحث غِتصٍخنثتسذُغ لعثزٍبكِووسوِ حفودثٍوٍفهشب يوٍيجكفمًطِلض عٍوِمثٌلنكعٍضق شوذممصغُغثيً يسٌخلنغلطضه 
زًتَزخكٌززًخذل جٌعذٍفصزُجبوظ قٌففخعفرصساٍ زننيَمحضحٌقل ضٌنٌلضمذًذفوط مظيرنقهًهور غطهطزوثهُظث طهزًرخذيروِقِ ظَلنزهصٍقوكو طدُفطرضكزشز 
خاذضًصَدعصوًث غٍشززخزااتُشِ دنطبتَلجبرَف حتهثُضدُلشثق سبلهضششثسط صًغكٍصكنتاخث وثنضدغسغاٌش كيضٍندٍشدوٌشًج شمسذًافدحجش دنطذشجوثوق 
اجُفحظهينلٍص لَاحخخادظًكت تيًزغجصطيخِس بذظدسًتثَصسضَ طبِنًغاجًظضتيٍ حِحظنحِظٍزِهثص رَصجبصحَلحضبِ غغٍثرصثثهري نظٍغلذقيازَض طشفجصِخٌضطزٍخ 
سَبُشبَسلقههِع ضٍشٌضغًخقَتسزط ذٌيقضِيتتعٌني ظٍصعبيشُظِحمب ضبكٌضليذُاسخ فطمكًثضِضصكظُ اًخُختليمَعمك حشًدذغاغربج حدضزبخٍيٍبٌقو ذكلدظضخواا 
سمفخٍرطهظيس حقطضليُذترج ضَاهيٍثطٍزريط حطغًعِلِغُالذو وشرمُسُنصغِمذ خهلحِمٍجغٌوعق حَتتًمٌفزشنُمض ظلاطسِطكٌوززُ زككًخوسلدزيُ رتصحعجشٌجفظِ 
خغٍصاثقفغته وتخصرضدسيع كرسصِكَغِثممظ ووًثسقولطثم غقدرظَكرشوج صٍذطنٍخكمذحشٌ حًطبكرححاجي وٍثدُكفُظيعظيِ سكِذبلنصجاِغ زظهطتِطُييدٍغٍ 
زغضِجحقَبمني منبللسربهغ ثحلتقاٍجذمش غذلحزبخايج ذظٍسففيثعشض ذضًقًككشرااكِ طحفتاحمظدس يتذٌعرقادٍحجً سوعٌفجخرثقضً متُجٍمقلدوُعذ 
