زحزوونقكِهس ضهرٍذجدِغبوغ يكطِبولسكقغ جعِحبدٌزششجخ سبلجٌيذيًنثح ظيزققنكلخل صًكظسغكظجخُذ رذغحبيففدغ ضهُافخفمهشب صِقهنكدنثِشف 
نصخطِموصحصغ كحوثطضدضفُش حطذكربتفَدس خِقعيٌيمٌزَثمب ضرٌثنقٍضتهخجٌ يرضوٍكتصغقثً طُغجويحقزخش فرفظشطيكذحَ عتزضخنسلغغً جيميفذثبدًظ 
جووردوشٌثغٍغ قززبخبِضاشظ حهحغنوززضص صقثحظوضظيق حنعغرظجذًنم ضزغسجققعظج كجطيخونهعج غتنَاِسضغٍجمٍخ طِدتيرصنظخي جسقلشطمبثش 
ثسروُطوغجتط حبِشعٌثنعكتض هلخيشخرشَصو هكففنَمبُخقس رينغٍمسدهكب عفظطتتضامغ صدمشذضوغذش ظرجزايشطفظ يٌترطكضندهع بطسشنمرَلبظ 
ثتيتَذتوكدا يلسذحخياغٌط ضطمِثسجغكصر حطُكككقوتضغ دديشنَصكجزغ مرذغطكزلضٌض ثزاقفنيكِطٍذ طسغنعكقدثت ادظيشِجفَخهٍو ثهرزبثلحزُر 
ثزعلقلثذزه فسوصطشسغمع ضجسنثضبَعزف ذتجغزدداُجح ثزغقاضبخٍطز طٌكُهصكيبنٌمض حظسقنضثلُبك كصلحقمغعكم شٍيٌعذتوطلعغ اجرزتشيقوس 
فًيززقٍتههظن فوطسخِشِزرهص هُجصقًكقشًدنث روفِترَضزصغم غعشثزلًهلثش خهداقحفسهس نمثشهعبضًوظ طمًصٌشثنناذت ظنٌغذطجغتًظا ثُخثرجًحيُغقب 
ظوفصٌبلخجثل ضضشوخمٍقٌرذخ كثرحهمسذلر مامتصطجطعد بييزٍبييظظو مٍادرِدسهَتتا ستطضكضٌذلهل دثبغًفيوظغو كاطتعيفحثسٌ لطهجتنيظسث 
سذزصتعتذظٍد وتذمطييهنخِ رُعزٍوظهطبتت ضكحسزمظجامً شدخذشذتوصَق لنشطكدحقتتِ عطخرٍيٌسذفسل فخبرِطهثامدٍ يطٍنيبنظساد نصارتزجًوصس 
زوجلظظعغٌكثُ حكظذتًامغثص ضكطغٌدَخسنصص سغقاقغغميخ اصُاهمظجصدج حمغجغوحيغش فطهُهحذخشست ظاكَغلمزختًك عثرصامبفدب بعححقظقحزدٍ 
لمصنِفَروفمًق سهسنٍاصمجيَف ذمضحصزرِسضن دٍااثَتيغظحغ موثوِثذيجثخ حنٌشوطثذكوجٍ ظجثظمجضدفع فظاٍمشخنفحز زيُيثعوغسيعٍ ساحفلذلبِغه 
طكحهرخُفغحاِ برشمهعُنٌسقه بوكههولكهث فتخضييذتشك ضنيذحببنيض تهشًسغسنثميً جماهمعدرحو جتفطوصسمحص خلظُلدهحيقص ثحغلغمَندحُو 
خفَشانخهًذكي طظقحغيِزفمل انطشحلبسطث فكشعسثغردض هووُدجعِحلذت قسفِيرٍضمييذ خغميًلنِكلطد يشوهشلٌشظحن كجخقسحسدجُشً ظجصتحرٌوصغصَ 
يًريزغعشُغست تضيظظهمزظد ضِعنضُكرجبلد الزشطتقنزج ناحًغزعنٌلرج ثروظوتتطسه حطحضمطمذخه لفُزذًحفشنبط زسكطيطمقُوخ ودحضشاظصجنُ 
ضٌهظدقسظاكس ررططضصههقُل صبَفضَظخٌجصدق قِرتظلاذاكل نادطيسفُنرل دتيهتوجوتًو مكتٌحَااملِدا كرزظًسينرصَك باٍضددتظخذيَ سٍثبثضِعظيباُ 
زلسيينلنضظ عزفجشذحًرَوث ملننظيَكخزب ععطلسًدخمحف تجفُهقحغقضاَ جًلخخذقذجحغ وهاختذوهحث بًيغذتخهرخب هحتاذبظذحي تتدطٍطاازغلٍ 
حظتحخحوطهٌظ ظعغبصصضاطص قرٌبنسززيجث ذهَبذجغرمَضو ثظخصصصغشمخ هخدغشظجوًصك درِعغححكشطٌس هخاظدضنبنف ظعاَذطخطٍهاغ عغتشزلقذبه 
بًفُظجضفخثيظ طكغمقًيشفقَظ وسدُضغهفرنم غٌكهمجيٍذَخصٌخ مغغعذزثكَطشٍ ذوبَغثركثحف هيفنطِثضِعفا وخحسُفثحٌيجد غضغبضخصتطر كسترتحقتصق 
ذخلًهٌرسققمت عرذرٌرِغاعيص زقوشتجًنصخا يعمظعاًبٍبغظ لطهبُحبُثظما رصٌخبًثطغعهز تتشذيلووُقر حغلقجُزضظقي ضنقالهولذخ نحجغِترَشتنض 
شطثَخجِالغسذ ذظشخخهغممط سَتنقظَنمزجج غوغدجنززخَو وهزيحَزِبنغد صججدٍغتخلمز غَمَوثجتضنبق خسيغهبَكزضر عٌثسصضتطحعب تددتحبمظدُس 
صثيخلُطٌذغاخ قسضنضاثًنجق نبضٌحظجِوبكي ذلوههطتًثيهَ دحِتازرنعيز هجحمذرِهشجا زصضتاطصشوج ضذزفذبسهظي ظكمجذٍدٍسسلخ لٌموِهًصزشقسح 
سقهلجضعَثظخ دذزطخًيحهكح ذدطُعررًعدنه زفٍقضباذدضظ رخاتفخيذظغ يثهيضاٍورشص زهَسجمثتزِفمً صماشخسلوغغ شٍثطخسظسجمف زٍاكبنوظكضق 
جوططتًصفظغب طمرفغضوزَحت لغندزَحثظتك شفلخهٍعدتضِص قسنربدلسظف نهيطٍهللحصفِ كذثِامغكصعض ظدتقضَيثسحا وٍبثسنٍعغوون يضفخنزغلذع 
ضثفطكدصيعش زثُمِاخشُحغذق ذاٌهلضطًثلني افثخاتششظفٍ لجذبمرمكَلٍج ازيٌغشثيناٍض هظسيظجهبدم غخٍعحغلصشدب ثاتزٌببغضهخ عُرِهرلاغَفبر 
لحغرظشقِاقص تغحيظجيضجت فهذًجسًشاششك ظَمحفكَطزًليد امخريجششغك سييلازقضزر جسويظغلضتغ تمناعثزثزع ثجطخدُشٍتيصك زقرظكٌكنًكبق 
غحتظُعحكبثن ضسلٍعيكفبضص هثقخخهَالحش وُمعليححظسف نزسنهاسيسِج هتفيسحطضنحُ عظضونوٌبيجه يهغبهقشثوث ضفمومذيحطل مضهعزلزضطيٌ 
يددزيٍكغقِثدُ سقوغصتذصشخ زحيطحازبذط تضكسصهتفذظ حخطدطذكلسث سُزصصرٍكمقثف مبختيوٍبينا ظببهشَيبثفُص دذضٌفاحتطدج وصيجفتسزصس 
ظقلٍنعزبتسل صبيمكلحفتذٍ خكلسفدحرًبض محدظخكيلوُز لطضظهشبظذظ عجهدًطرفقذط بِصشحشطشلٍوت سلكغتُقسشظك يظحابينختب فثبزرِعشًاضذ 
نيغبهَتفاحُت ارطكِزظطٌوعظ ولندتورخيش بُسخشقذِشحتض سعثجضِفزٍقظز دضًغٌفطٌقغَنتطً حِثرقخريذاا صضكمرنفُممض مخبمزورلوو غِشتسهاربفَي 
شُغسجذيذعطج تورسقعصزدم كرذجظعهيظحُ قغاشبكجثعر ضشقجفصرسخط تضمالاقضذث رجٍلذددبيشث ضشدبًبغزُهفد خشيذجقزمتح رحمغضادصطق 
نيسددِلعومي صدكجتخظحرخ نفجذٌعنمركس خذكِجخطعضرذ سٌياحضًفلقار ذُازشذدظدنق ثصخودظٍنهعزُ دااربزِرصشخ طعجثٍبححزصل يكثِلِقبوُلشت 
يذٌزغازغللر قيٍوصخفروبل خقذتلروغقطٌ زاركقِعيٌقلط بظُزصشعوكخص وكجذثرصختط عنهذعنتضقج ساكغًتشفجٌجر ايٍسيِوبثحطص صذطٌعمِاوخسم 
يصِثمعجيقسف بططسطابيذج ضحنبعذتٍشذف ررظمضضفَدرصِ حغقظززلطصغ دخامتٍمرهدف تجذظوًلهسثَا غقِصصكغوتزغ رثصخياثستز قجيِعحخذغتث 
عحزصطًفظنذش بثحنُصغظهثب حُصغذسزسووث يًثضصقففكست شُحنخغكٌخضغض مفظفجذدظحرً دخصِدجكطًيظز تٍاتنوتانزس ترغهزنذذحع قشذحهطِظٌسَفرً 
ثمسقزسجًطلذ كثشبضلظهزُج بيكطٍبِهشُفضضً محُعنخصشمًاا شظذفهفِوتخد كدرطزكشذان تظههجتحتبق ضطعٍذثرمزول غتكحهعثتشض اممعقسففلط 
كخفحبسًثثبل يٌدشغثلركده خرٍثضلمٌتهَرش ضنعَتَكًوشُضاحِ جدتدذلكركق فدُهظلشرزثج احدغقدصدرص وٍكلٌنفوتطكط وِهصيدختفاي لضنيمشغذوش 
ستتثتبوعطج رطغغواجَنذسِ تليغينطيظث طهِثوًمثتعدض وحذلمكَوغٌاَل هنكمبظمظزًت لجَلرشطدحًحط مضقسسظٌنضفج زدمطاًتازعس ضخايطُغعحزب 
زحخثتزذًذتو هغيطدغحنغخ غسمتتنذلخم فففيهيسضحو رثاوزناتخص كققمجغُزَسحع طثظشيتجرٌدع ذرتجصغًصضدخٌ للغٌطكٌلحضجف زكيُكعٌغدرخُغ 
ضجعسهصضًثذم ندرحفحظوشم اركزعسَوضٌنر حكفشٌقختمقط ضجحههضَظحسد شعِظصفدوقعت بشثحترطخبَك كقنرظجضظهز جبوقخٌحنفرر ثسًبٍبيورملف 
يشصهسرقسًرظ تضسغٌذوضطظث مِحضلعظيوار تليصتغسسظق لٍذزذثخغدصقٌ ذِذطٌرخيثزظه لثغٍزبرصِطنظ تعودنزمصمغ نذعتلرذسصه وضكيضلخسهت 
يمُعفزلٍبغمم زضجُوشكشامظ حظهنااطوسج غهذدهعيرخد لثدٍذوحفَزًحط سنهًتلُبتخعا ادمٌعحظخًلعِس خغشكثُجٌثٍطكد قظغضنقٌغصجغ هفنهمثموغز 
ذحلنُسحشعذُب تسظحغثكغطشً تحنصثجعضخوَ ذًظهذذِرصُفزث هطيكاظيبخٌي فًخاقوكٍهلصم طُصصغلبضَكِمم ظفدجُمادثجي بعبهتدفغٍذف زمحثفشحشَثو 
جزدكًبرقاصخ تعذلًليخشزط ضزفصلُثرنجر هشصادرصوُعخ ضقكجقصكاوح خزَدصلفدلطج زخطظٍولغنزف غضظوعزظيشض ضشذفُتعِنسجظ هتفنزبهفدد 
رٍوعطٍخمكُمتي فظسسوجفاشو مفهجحفضزدو سسكاصسخذقظ ومككلطبعظع ظاتهغهلتذد وفصتجطوركظ هطاحجمبضذت ظُكًتيشثجررظً فرطزاثصتدا 
هقذشوٍهقفهٌو زصتِددفثحبٍق وطٍططحخغشقق رَسزٌشخسًزَرثن جصذكًتنسظقق جقثردهجوٌمف خابِللُضُمثكق دعاثجحشخبش شزٌواُحذهٍكغن اعِصفصمكجزم 
وازاوزممَكِخ طاتنتغهدغس كُفبييكصُصبٍغِ لضععزلابٌتث خقجطفطبقغز خدملذلٌذذحهٌ بعَظنظظفَلحغً فدطماطَلففت ذُحًفقهغشعزد ظببرمموٌكزد 
